taxon_id,name,latin,order,family,weighted_records,province_count,base_rarity,range_bonus,iucn_category,iucn_bonus,iucn_trend,rarity_index
4793,短趾百灵,Alaudala cheleensis,雀形目,百灵科,0.7,19,7.9641,1.1029,LC,0.0,Decreasing,9.07
4963,白喉林莺,Curruca curruca,雀形目,莺鹛科,1.6,18,7.8967,1.1765,LC,0.0,Stable,9.07
4088,黑海番鸭,Melanitta americana,雁形目,鸭科,42.3,5,6.7778,2.1324,NT,0.15,Decreasing,9.06
4068,疣鼻天鹅,Cygnus olor,雁形目,鸭科,2.2,18,7.8520,1.1765,LC,0.0,Increasing,9.03
5442,北朱雀,Carpodacus roseus,雀形目,燕雀科,3.4,17,7.7724,1.2500,LC,0.0,Stable,9.02
5493,白头鹀,Emberiza leucocephalos,雀形目,鹀科,0.9,20,7.9458,1.0294,LC,0.0,Decreasing,8.98
4473,斑头鸺鹠,Glaucidium cuculoides,鸮形目,鸱鸮科,0.8,21,7.9605,0.9559,LC,0.0,Increasing,8.92
4324,黄脚三趾鹑,Turnix tanki,鸻形目,三趾鹑科,0.8,21,7.9532,0.9559,LC,0.0,Stable,8.91
5022,棕颈钩嘴鹛,Pomatorhinus ruficollis,雀形目,林鹛科,0.9,21,7.9495,0.9559,LC,0.0,Stable,8.91
5480,褐头鹀,Emberiza bruniceps,雀形目,鹀科,42.9,5,6.7709,2.1324,LC,0.0,Increasing,8.90
4785,中华短趾百灵,Calandrella dukhunensis,雀形目,百灵科,3.9,19,7.7418,1.1029,LC,0.0,Unknown,8.84
